type,time,one,two,three
4,511589606963985,0.12621632,0.00633754,0.036956258
4,511623966702920,0.39178216,-0.38208497,-0.09544489
1,511606787331121,1.16351,5.8944197,7.632506
1,511589607493985,1.2999009,6.1935225,7.2613196
1,511623967232920,0.73011,5.750551,8.195119
4,511611082401850,-0.013667707,-0.012598725,0.003970507
4,511593902544662,-0.23723781,0.36681378,0.28992337
4,511628262315993,-0.055358034,0.07857023,0.08842014
1,511611082931850,1.041476,5.1735816,8.089535
1,511593903074662,1.3716856,5.7314086,7.967501
6,511581018198464,984.04126,0.0,0.0
1,511628262845993,0.57457656,5.1400824,8.455936
4,511598198131485,-0.022219568,-0.07062922,-0.054059982
4,511615378005964,-0.23380178,0.025961008,0.081700824
4,511632557931410,-0.47875154,-0.14813046,-0.27869907
4,511581018339402,0.0022143214,0.00633754,3.0542363E-4
6,511615378198777,984.0393,0.0,0.0
1,511598198661485,0.7109674,5.293223,8.719446
1,511615378535964,0.61046886,5.489733,8.324331
1,511632558461410,0.37597227,5.4705906,8.796016
1,511581018869402,0.2970091,5.128118,8.487042
4,511602493723621,-0.5261686,0.9495621,0.43835926
4,511619673612139,0.36062896,-0.110868774,0.011453386
4,511585313908881,0.19890714,-0.30763796,-0.32771957
1,511602494253621,1.0677971,5.2142596,7.7617183
1,511619674142139,0.6343971,5.0395837,7.9052877
1,511585314438881,0.9840483,5.616553,8.556435
4,511606789320548,0.027869906,-0.06940752,0.10239327
4,511589609483360,0.11522106,0.018554486,0.029626092
4,511623969222347,0.42537877,-0.37780902,-0.09544489
1,511606789850548,1.1826526,5.9135623,7.615756
1,511589610013360,1.3094722,6.210272,7.2302127
1,511623969752347,0.75643104,5.709873,8.159226
4,511611084921277,-0.022219568,-0.016263809,0.00335966
4,511593905064089,-0.24151373,0.35093176,0.28748
4,511628264835420,-0.0626882,0.063909896,0.08292252
1,511611085451277,1.0366904,5.183153,8.108678
1,511593905594089,1.3621143,5.72423,7.9770727
1,511628265365420,0.51475596,5.0539403,8.451151
4,511598200650860,0.023593975,-0.07551599,-0.060779303
4,511615380525391,-0.24724042,0.026571855,0.078646585
4,511632560450837,-0.4512634,-0.12736166,-0.25243264
4,511581020858777,0.0046577104,0.00633754,9.162709E-4
1,511598201180860,0.7085746,5.2956157,8.769695
1,511615381055391,0.622433,5.5040903,8.372188
1,511632560980837,0.3281158,5.465805,8.831908
1,511581021388777,0.28983065,5.142475,8.472686
4,511602496243048,-0.5377747,0.93612343,0.4359159
4,511619676131566,0.32214558,-0.14935215,-0.004428643
4,511585316428308,0.21356747,-0.30458373,-0.34176904
1,511602496773048,1.0486546,5.1759744,7.819146
1,511619676661566,0.6439684,5.046762,7.84786
1,511585316958308,0.9529416,5.6739807,8.59472
4,511606791839923,0.017485503,-0.072461754,0.101782426
4,511589612002787,0.10850175,0.0264955,0.02351762
4,511623971741722,0.46264043,-0.37597647,-0.09972081
1,511606792369923,1.1946167,5.9135623,7.5990067
1,511589612532787,1.2927225,6.215058,7.2158556
1,511623972271722,0.7755736,5.64766,8.096714
4,511611087440704,-0.03077143,-0.021150587,0.0051922016
4,511593907583516,-0.24701136,0.33749312,0.28564745
4,511628267354795,-0.073072605,0.04741702,0.07742489
1,511611087970704,1.0342976,5.1616178,8.118249
1,511593908113516,1.3692927,5.7338014,7.9914293
1,511628267884795,0.4668995,4.965406,8.458329
4,511598203170287,0.08162446,-0.07185091,-0.054059982
4,511615383044766,-0.2557923,0.026571855,0.07681404
6,511602498184923,984.0105,0.0,0.0
4,511632562970264,-0.42560783,-0.111479625,-0.22311196
4,511581023378152,0.0052685575,0.008170082,0.0021379655
1,511598203700287,0.663111,5.343771,8.7673025
1,511615383573649,0.61764735,5.4729834,8.410473
1,511632563500264,0.29222345,5.425127,8.853444
1,511581023908152,0.29940194,5.1616178,8.479864
4,511602498762475,-0.54021806,0.91413295,0.4310291
4,511619678650993,0.27755374,-0.1847813,-0.020921519
4,511585318947683,0.23128204,-0.30397287,-0.35520768
1,511602499292475,1.0342976,5.1257253,7.917252
1,511619679180993,0.6583253,5.063512,7.8071823
1,511585319477683,0.90029955,5.7266226,8.62822
4,511606794359350,0.011987877,-0.079791926,0.10056073
4,511589614522214,0.09750649,0.0381016,0.017409148
4,511623974261149,0.49501535,-0.3735331,-0.10460759
1,511606794889350,1.2017952,5.925526,7.574779
1,511589615052214,1.2927225,6.25095,7.2230344
1,511623974791149,0.7755736,5.590232,8.027322
4,511611089960131,-0.039323293,-0.02725906,0.00335966
4,511593910102891,-0.24945475,0.32527617,0.28442577
4,511628269874222,-0.0846787,0.029626092,0.0749815
1,511611090490131,1.0534402,5.1640105,8.118249
1,511593910632891,1.3836497,5.7194443,8.010572
1,511628270404222,0.43818563,4.8768716,8.455936
4,511598205689662,0.1390441,-0.059023116,-0.032069482
4,511615385563076,-0.26190075,0.022906773,0.07742489
4,511632565489691,-0.396898,-0.095597595,-0.19623469
4,511581025897579,0.004046863,0.009391776,0.0051922016
1,511598206219662,0.5673981,5.4179487,8.73141
1,511615386093076,0.6008976,5.4346986,8.451151
1,511632566019691,0.27517462,5.408377,8.865408
1,511581026427579,0.27517462,5.1903315,8.472686
4,511602501281850,-0.5457157,0.8884773,0.4261423
4,511619681170368,0.23479441,-0.21532366,-0.039857782
4,511585321467058,0.24960746,-0.30152947,-0.36681378
1,511602501811850,1.0271192,5.0850472,8.017751
1,511619681700368,0.67028946,5.0802617,7.7497544
1,511585321997058,0.85483587,5.779265,8.68804
4,511606796878777,-2.2906772E-4,-0.08040277,0.0962848
4,511589617041589,0.0846787,0.042377528,0.011911522
4,511623976780576,0.52800107,-0.37597647,-0.112548605
1,511606797408777,1.204188,5.915955,7.562815
1,511589617571589,1.2855439,6.2581286,7.2086773
1,511623977310576,0.7899306,5.5184474,7.9794655
4,511611092479558,-0.047875155,-0.030313294,0.0021379655
4,511593912622318,-0.2500656,0.3130592,0.28259322
4,511628272393649,-0.08956548,0.0070247436,0.07375981
6,511589618168464,984.01074,0.0,0.0
1,511611093009558,1.0677971,5.154439,8.12782
1,511593913152318,1.3764713,5.705087,8.001
1,511628272923649,0.4118646,4.8098726,8.475079
4,511598208209089,0.17997088,-0.032756682,-0.0021379655
4,511615388082504,-0.2698418,0.019852536,0.07925743
4,511632568009066,-0.36818817,-0.0827698,-0.16996825
4,511581028416954,0.0028251687,0.011835165,0.006413896
6,511623978184014,984.00586,0.0,0.0
1,511598208739089,0.4764708,5.456234,8.67129
1,511615388612504,0.60329044,5.389235,8.506186
1,511632568539066,0.2632105,5.391628,8.874979
1,511581028946954,0.26799613,5.185546,8.470293
4,511602503801277,-0.5451048,0.8567133,0.4182013
4,511619683689795,0.1932568,-0.23792501,-0.06062659
4,511585323986485,0.2679329,-0.30519456,-0.37903073
1,511602504331277,1.0319048,5.046762,8.1230345
1,511619684219795,0.70378894,5.0850472,7.7162547
1,511585324516485,0.83778703,5.819943,8.712267
4,511606799398204,-0.010613471,-0.08040277,0.09261972
4,511589619560964,0.07185091,0.048486,0.008246438
4,511623979300004,0.56220853,-0.3839175,-0.1241547
1,511606799928204,1.2065809,5.9039907,7.548458
1,511589620090964,1.2831511,6.265307,7.199106
1,511623979830004,0.77318084,5.4610195,7.888538
4,511611094998933,-0.0600921,-0.032756682,-9.162709E-4
4,511593915141693,-0.2543415,0.3075616,0.27892813
4,511628274913076,-0.094452254,-0.016798299,0.07437065
1,511611095528933,1.0869397,5.144868,8.142476
1,511593915671693,1.3764713,5.688338,7.993822
1,511628275443076,0.38315073,4.77398,8.487042
4,511598210728516,0.21356747,0.010613471,0.036956258
4,511615390601931,-0.27106348,0.012522369,0.081700824
4,511632570528493,-0.34131092,-0.07727218,-0.14492351
4,511581030936329,0.005879405,0.011835165,0.006413896
1,511598211258516,0.42382872,5.5112686,8.630612
1,511615391131931,0.58654064,5.341378,8.551649
1,511632571058493,0.25124636,5.374878,8.853444
1,511581031466329,0.28265217,5.192724,8.458329
4,511602506320704,-0.5396072,0.8206733,0.40964943
4,511619686209222,0.15110834,-0.2599155,-0.08078455
4,511585326505860,0.28686914,-0.30580541,-0.39002597
1,511602506850704,1.015155,5.0156555,8.223832
1,511619686739222,0.7253244,5.130511,7.6947193
1,511585327035860,0.81864446,5.843871,8.745767
4,511606801917631,-0.020387027,-0.07551599,0.088343784
4,511589622080391,0.059633963,0.047264308,0.005803049
4,511623981819431,0.60191363,-0.39613444,-0.13820419
1,511606802447631,1.2113664,5.8920264,7.5317082
1,511589622610391,1.2568301,6.279664,7.2230344
1,511623982349431,0.7085746,5.171189,7.5269227
4,511611097518360,-0.065589726,-0.039476003,-0.005803049
4,511593917661121,-0.25556323,0.3014531,0.2758739
4,511628277432504,-0.09933904,-0.04123219,0.07559235
1,511611098048360,1.0989038,5.130511,8.156834
1,511593918191121,1.3812568,5.657231,7.9890366
1,511628277962504,0.38793638,4.74736,8.489435
4,511598213247891,0.2502183,0.061313793,0.07857023
4,511615393121358,-0.2741177,0.005803049,0.084755056
6,511611098195391,984.0232,0.0,0.0
4,511632573047920,-0.31443363,-0.07482879,-0.11682454
4,511581033455756,0.0046577104,0.011224318,0.009468133
1,511598213777891,0.4142574,5.5519466,8.604291
1,511615393651358,0.5626124,5.3075795,8.585149
1,511632573577920,0.24646074,5.346164,8.831908
1,511581033985756,0.27996024,5.1903315,8.448758
4,511602508840079,-0.53594214,0.7834116,0.39987588
4,511619688728649,0.11079242,-0.27579755,-0.10277505
4,511585329025287,0.31130302,-0.30763796,-0.40285376
1,511602509370079,0.9984053,4.970192,8.324331
1,511619689258649,0.7683952,5.1735816,7.6779695
1,511585329555287,0.79950184,5.853442,8.769695
4,511606804437006,-0.02893889,-0.06879667,0.08406785
4,511589624599766,0.04314109,0.045431767,0.003970507
4,511623984338858,0.6904865,-0.42301172,-0.15836215
1,511606804967006,1.2209377,5.870192,7.5293155
1,511589625129766,1.244866,6.291628,7.2206416
1,511623984868858,0.8066803,5.1903315,6.538388
4,511611100037787,-0.07108735,-0.04191939,-0.011300675
4,511593920180496,-0.25189814,0.29778802,0.2722088
4,511628279951931,-0.10613471,-0.060779303,0.07925743
1,511611100567787,1.1036894,5.137689,8.197512
1,511593920710496,1.378864,5.642874,7.9722867
1,511628280481931,0.3807579,4.718646,8.4655075
4,511598215767318,0.28870168,0.11751174,0.11522106
4,511615395640733,-0.27289602,-0.0021379655,0.087809294
4,511632575567347,-0.2893889,-0.073607095,-0.0917798
4,511581035975131,0.005879405,0.008170082,0.008857286
1,511598216297318,0.44536412,5.599803,8.599505
1,511615396170733,0.55064833,5.2884374,8.630612
1,511632576097347,0.2632105,5.3147583,8.803194
1,511581036505131,0.285045,5.195117,8.443972
4,511602511359506,-0.52800107,0.74492824,0.38888064
4,511619691248076,0.07353074,-0.28740364,-0.122322164
4,511585331544662,0.33695862,-0.3094705,-0.41751412
1,511602511889506,0.9696914,4.939085,8.396115
1,511619691778076,0.7636095,5.1759744,7.6851482
1,511585332074662,0.77796644,5.860621,8.776874
4,511606806956433,-0.03504736,-0.0626882,0.08040277
4,511589627119193,0.030924143,0.039323293,0.00335966
4,511623986858285,0.79799557,-0.4187358,-0.16080554
1,511606807486433,1.2257234,5.846264,7.5053873
1,511589627649193,1.2329018,6.2940207,7.2326055
1,511623987388285,1.0438689,5.8944197,5.966204
4,511611102557214,-0.07902836,-0.04741702,-0.019241689
4,511593922699923,-0.25373068,0.29962057,0.2654895
4,511628282471358,-0.109799795,-0.08521319,0.081700824
6,511598218184246,984.0415,0.0,0.0
1,511611103087214,1.1228321,5.154439,8.219047
1,511593923229923,1.3645071,5.6117673,7.9746795
1,511628283001358,0.392722,4.733003,8.470293
4,511598218286693,0.33146098,0.16645588,0.14759597
4,511615398160160,-0.2698418,-0.010689827,0.09208523
4,511632578086774,-0.25945738,-0.07666133,-0.065513365
4,511581038494558,0.003436016,0.008170082,0.011300675
6,511632578193754,984.0476,0.0,0.0
1,511598218816693,0.5099703,5.599803,8.601898
1,511615398690160,0.5554339,5.252545,8.656933
1,511632578616774,0.27996024,5.2980084,8.786445
1,511581039024558,0.29222345,5.209474,8.439186
4,511602513878933,-0.52006006,0.7094991,0.37666368
4,511619693767451,0.03565821,-0.2971772,-0.14186928
4,511585334064037,0.36322504,-0.3094705,-0.4315636
1,511602514408933,0.9457632,4.8912287,8.472686
1,511619694297451,0.76600236,5.18076,7.673184
1,511585334594037,0.76600236,5.846264,8.760123
4,511606809475860,-0.03749075,-0.055358034,0.07795938
4,511589629638568,0.013209572,0.033825666,0.0027488125
4,511623989377712,0.8541935,-0.3362714,-0.14125843
1,511606810005860,1.2400804,5.829514,7.498209
1,511589630168568,1.2281163,6.291628,7.2469625
1,511623989907712,1.0941181,6.0954165,6.076274
4,511611105076589,-0.08574768,-0.053525493,-0.02351762
4,511593925219298,-0.25373068,0.30450734,0.26121357
4,511628284990785,-0.115908265,-0.10292777,0.08536591
1,511611105606589,1.1204392,5.142475,8.223832
1,511593925749298,1.3716856,5.5950174,7.9555373
1,511628285520785,0.40947178,4.723432,8.472686
4,511598220806121,0.36994436,0.2055501,0.16897562
4,511615400679587,-0.26434416,-0.018630842,0.094528615
4,511632580606201,-0.23624517,-0.07910472,-0.04291202
4,511581041013933,0.0028251687,0.0051158457,0.013744064
