type,time,one,two,three
4,511216281573862,-0.005879405,0.012522369,0.010231691
1,511229166567248,-0.062213387,4.8122654,8.659326
4,511233461701518,0.015500249,0.009468133,0.0053449133
1,511199102016102,0.42622152,4.77398,8.489435
4,511203397131518,0.06192464,0.07124006,0.04688253
1,511216282103862,-0.09092726,5.08744,8.410473
4,511220577233393,0.07291989,-0.028404398,-0.051463883
1,511233462231518,-0.22971097,4.7545385,8.59472
4,511190512721334,-0.029702447,0.14515258,0.08231167
4,511237757367560,2.2906772E-4,-0.0045813546,0.0022906773
1,511203397661518,0.37836507,4.982156,8.585149
4,511207692781466,0.04665346,0.013744064,-0.019699825
1,511220577763393,0.09092726,4.6731825,8.800801
4,511224872894435,-0.026648212,-0.019241689,-0.0019852535
1,511190513251334,0.14356937,4.888836,8.338688
1,511237757897560,-0.043070808,4.5655055,8.544471
4,511194808362664,-0.017485503,0.082235314,-0.027640838
1,511207693311466,0.5315057,4.692325,8.585149
4,511211988436102,-0.009544488,-0.058946762,-0.012980504
1,511224873424435,0.2105684,4.644469,8.769695
4,511229168556675,-0.010155336,-0.017409148,-0.0025961008
1,511194808892664,0.44057846,4.898407,8.56122
4,511199104005529,0.050318543,-0.00335966,0.038330667
1,511211988966102,0.1794617,4.7306104,8.932407
4,511216284093341,-0.008322794,0.04008685,0.023059484
1,511229169086675,-0.033499517,4.821837,8.656933
4,511233464220946,0.024052111,0.025961008,0.016951011
1,511199104535529,0.4118646,4.7688956,8.443972
4,511203399650946,0.06375718,0.06818583,0.04382829
1,511216284623341,-0.062213387,5.0802617,8.376973
4,511220579752873,0.07658497,-0.032069482,-0.055128966
1,511233464750946,-0.22013968,4.7545385,8.580363
4,511190515240761,-0.04680617,0.13660072,0.08536591
4,511237759887039,-0.0028251687,3.0542363E-4,0.004123219
1,511203400180946,0.3687938,4.9989057,8.5349
4,511207695300893,0.03993414,0.019241689,-0.019088976
1,511220580282873,0.076570325,4.6803613,8.76491
4,511224875413914,-0.028480753,-0.02107423,-0.003206948
1,511190515770761,0.1363909,4.8792644,8.369795
1,511237760417039,-0.02632105,4.5942197,8.575577
4,511194810882091,-0.017485503,0.088343784,-0.026419144
1,511207695830893,0.54346985,4.685147,8.585149
6,511207695911987,984.13696,0.0,0.0
4,511211990955529,-0.0046577104,-0.07177455,-0.009926268
