type,time,one,two,three
-3,34886607380806,0.0,0.0,0.0
4,59708519759979,0.15423894,-0.02183779,0.011835165
1,59747174659278,0.45972106,3.9574296,8.705089
1,59734289922427,0.48364928,3.72054,9.727123
1,59721405053052,0.325723,3.8497524,8.348259
4,59751469863028,0.01007898,-0.011453386,0.020997874
1,59708520289979,0.49322057,4.0794635,9.013762
4,59738585157323,-0.033902023,0.0019852535,-0.0071010995
4,59725700337479,-0.22021043,-0.022448637,0.027717194
4,59712815483469,-0.20921518,-0.044439137,0.036879905
1,59751470393028,0.4645067,3.73729,9.020942
4,59699930811646,0.07116371,0.04046863,-0.015042114
1,59738585687323,0.45732823,3.816253,9.401699
1,59725700867479,0.2536392,3.7277186,9.471091
1,59712816013469,0.43100718,3.8736808,9.535697
4,59742880907976,0.074217945,-0.014507622,0.04421007
1,59699931341646,0.74207413,4.0292144,9.320343
4,59729996132531,-0.12491827,-0.008399149,0.042377528
4,59717111240292,0.065055236,0.062459134,2.2906772E-4
4,59704226550240,0.11514471,0.35200074,0.014889402
1,59742881437976,0.9720842,3.909573,8.637791
1,59729996662531,0.2727818,4.034,8.642576
1,59717111770292,0.53629136,3.6990047,10.012168
4,59747176648757,0.06322269,-0.040774055,-0.016874656
1,59704227080240,0.6367899,3.7875392,7.778468
4,59734291911906,-0.05650337,-0.011453386,0.008170082
4,59721407042583,0.07482879,0.12965234,0.016721943
4,59708522279458,0.14446537,-0.023059484,0.008780929
1,59747177178757,0.45732823,3.9454653,8.666505
1,59734292441906,0.53629136,3.7013974,9.736694
1,59721407572583,0.1794617,3.9550366,8.436793
4,59751472382507,0.011911522,-0.011453386,0.024052111
1,59708522809458,0.4884349,4.072285,8.9826565
4,59738587676802,-0.025961008,0.0056503373,-0.0046577104
4,59725702857063,-0.19821994,-0.021226943,0.028328042
6,59717112943313,991.7898,0.0,0.0
4,59712818002948,-0.19088978,-0.05054761,0.036269058
1,59751472912507,0.49082774,3.7564325,9.018549
4,59699933331125,0.079715565,0.023975754,-0.016263809
6,59751472966830,991.66797,0.0,0.0
1,59738588206802,0.4621139,3.8066816,9.430413
1,59725703387063,0.29222345,3.6918263,9.6122675
1,59712818532948,0.50039905,3.8545382,9.609875
4,59742883427507,0.04734066,0.003206948,0.031993125
1,59699933861125,0.73011,4.005286,9.289237
4,59729998652063,-0.1487413,-0.017561859,0.040544987
4,59717113759771,0.09009997,0.07650862,2.2906772E-4
4,59704229069719,0.10109522,0.33550787,0.017943637
1,59742883957507,0.98644114,3.9406798,8.62822
1,59729999182063,0.44775695,3.9335012,8.690433
1,59717114289771,0.49322057,3.7277186,10.019346
4,59747179168237,0.04123219,-0.044439137,-0.01809635
1,59704229599719,0.6774679,3.828217,7.996215
4,59734294431438,-0.030236939,-0.0029015245,0.003283304
4,59721409562167,0.051616594,0.075897776,0.017943637
4,59708524798990,0.13469182,-0.02367033,0.0051158457
1,59747179698237,0.49322057,3.9526439,8.637791
1,59734294961438,0.5697909,3.7157545,9.760623
1,59721410092167,0.06460621,4.043571,8.472686
4,59751474901987,0.014965758,-0.009620844,0.025273805
1,59708525328990,0.50039905,4.084249,8.937193
4,59738590196333,-0.013133216,0.009926268,-0.0022143214
4,59725705376542,-0.17134266,-0.016951011,0.0264955
4,59712820522427,-0.16828842,-0.04566083,0.033825666
1,59751475431987,0.5099703,3.7540395,9.01137
4,59699935850656,0.08765658,0.00503949,-0.01809635
1,59738590726333,0.45972106,3.801896,9.456735
1,59725705906542,0.35204405,3.6460636,9.755837
1,59712821052427,0.5673981,3.8138602,9.68166
4,59742885946987,0.016798299,0.014202199,0.01977618
1,59699936380656,0.7085746,4.0005,9.260523
4,59730001171594,-0.16706672,-0.029778805,0.03504736
4,59717116279302,0.117588095,0.08994726,0.0020616094
4,59704231589250,0.089489125,0.2780882,0.018554486
1,59742886476987,0.9601201,3.926323,8.604291
1,59730001701594,0.60329044,3.818646,8.752945
1,59717116809302,0.45014977,3.7636108,10.031311
4,59747181687768,0.022906773,-0.04382829,-0.019928891
1,59704232119250,0.6559325,3.844967,8.044071
4,59734296950969,-0.0045813546,0.006872032,2.2906772E-4
4,59721412081698,0.021685077,0.04046863,0.023441264
4,59708527318469,0.12247488,-0.026724568,0.0014507623
1,59747182217768,0.5482555,3.9430726,8.604291
1,59734297480969,0.5841478,3.708576,9.77498
1,59721412611698,0.011964113,4.1225343,8.439186
4,59751477421518,0.015576605,-0.010842538,0.025884653
1,59708527848469,0.50039905,4.086642,8.88455
6,59704232952219,991.7239,0.0,0.0
4,59738592715813,-0.00335966,0.016034741,-9.926268E-4
4,59725707896125,-0.14018944,-0.01267508,0.022830416
4,59712823041958,-0.12430742,-0.048104223,0.02893889
6,59738592951229,991.65186,0.0,0.0
1,59751477951518,0.5243273,3.7564325,9.001799
4,59699938370135,0.09743014,-0.009620844,-0.01809635
1,59738593245813,0.49322057,3.8138602,9.509377
1,59725708426125,0.42622152,3.6317065,9.87817
1,59712823571958,0.60329044,3.7851462,9.748658
4,59742888466466,-0.014965758,0.023975754,0.00633754
1,59699938900135,0.68225354,3.9717865,9.241081
4,59730003691125,-0.17745113,-0.0413849,0.024052111
4,59717118798833,0.14141114,0.09910997,0.00633754
4,59704234108729,0.074217945,0.21883602,0.016111096
1,59742888996466,0.91226363,3.885645,8.568398
1,59730004221125,0.7181459,3.7420754,8.846265
1,59717119328833,0.42861435,3.7851462,10.016953
4,59747184207247,0.0051922016,-0.03955236,-0.022372281
1,59704234638729,0.5171488,3.8760736,8.05125
4,59734299470500,0.020463383,0.016645588,-0.003436016
4,59721414601229,-0.011300675,0.019088976,0.031993125
4,59708529837948,0.10903624,-0.031000499,-0.0022143214
1,59747184737247,0.5602196,3.9191444,8.580363
1,59734300000500,0.57936215,3.708576,9.782158
1,59721415131229,-0.011964113,4.2161536,8.400901
4,59751479940997,0.015576605,-0.006566608,0.027106347
1,59708530367948,0.4884349,4.0770707,8.853444
4,59738595235344,0.009468133,0.019088976,-9.926268E-4
4,59725710415656,-0.105371155,-0.0053449133,0.016721943
4,59712825561438,-0.102316916,-0.040163208,0.020387027
1,59751480470997,0.5482555,3.7540395,9.001799
4,59699940889615,0.108425386,-0.0193944,-0.01809635
1,59738595765344,0.5171488,3.8138602,9.550055
1,59725710945656,0.49322057,3.5958142,9.961919
1,59712826091438,0.65353966,3.7564325,9.813265
4,59742890985997,-0.04367558,0.03130592,-0.009544488
1,59699941419615,0.663111,3.9550366,9.243474
4,59730006210656,-0.18539214,-0.05054761,0.014889402
4,59717121318313,0.16462334,0.10155336,0.011835165
4,59704236628208,0.057114217,0.15591876,0.01305686
1,59742891515997,0.83778703,3.8377883,8.5372925
1,59730006740656,0.8210373,3.696612,8.91805
1,59717121848313,0.4334,3.828217,9.945169
4,59747186726726,-0.014354911,-0.037108973,-0.02481567
1,59704237158208,0.3376871,3.9861434,8.173583
4,59734301989979,0.046118967,0.026419144,-0.0071010995
4,59721417120760,-0.05283829,0.004428643,0.04359922
4,59708532357427,0.095597595,-0.037108973,-0.0046577104
1,59747187256726,0.55304116,3.8904305,8.563613
1,59734302519979,0.581755,3.7109687,9.763016
1,59721417650760,0.05503492,4.1871405,8.455936
4,59751482460476,0.016187452,-0.0022906773,0.0264955
1,59708532887427,0.48364928,4.072285,8.829515
4,59738597754823,0.022906773,0.021532366,2.2906772E-4
