type,time,one,two,three
4,462989193532429,-0.031229567,0.08162446,-0.018172706
1,462984898658627,-0.1794617,6.725028,6.966703
1,463032143419958,-1.2137593,6.7848487,7.158428
4,463014963649333,-0.031382278,-0.053983625,0.0038941512
1,463010668720270,-0.92662054,5.8821564,8.036893
4,462993488950815,0.09093989,-0.008780929,0.020310672
1,462989194062429,-0.71336025,5.9757752,7.582257
4,463019259090947,-0.005726693,-0.14194563,-0.026037365
1,463014964179333,-0.41665024,6.2365932,7.8000035
4,462997784381440,-0.088649206,0.16286714,0.047798797
1,462993489480815,-0.23688944,5.9757752,7.967501
4,463023554520479,-0.023441264,0.0046577104,-0.01809635
4,462976309905033,-0.016569233,-0.15904936,-0.0413849
1,463019259620947,-0.38554356,5.858228,8.242975
4,463002079812065,-0.06604786,-0.04421007,-0.0035123718
1,462997784911440,-0.15074782,5.877371,7.9316087
4,462980605263523,-0.029397024,0.005879405,-0.012064233
4,463027849954854,-0.036879905,0.1427092,0.06681142
1,463023555050479,-0.1794617,5.8414783,8.039286
1,462976310435033,0.1794617,5.846264,8.065607
4,463006375255114,0.04314109,0.06757498,0.024662958
6,462976310497481,988.7649,0.0,0.0
1,463002080342065,-0.12203395,5.8821564,7.9483585
4,462984900647898,-0.24258272,0.26304612,0.04352287
6,463010670483552,988.8784,0.0,0.0
1,462980605793523,0.16031912,5.8749776,8.065607
4,463032145409281,-0.074141584,-0.08819107,0.01977618
1,463027850484854,0.040677983,6.183951,7.912466
4,463010670709593,-0.011224318,0.039476003,0.031993125
1,463006375785114,-0.2416751,6.3275204,7.359425
4,462989196051700,-0.035505496,0.07795938,-0.013896775
1,462984901177898,-0.18664017,6.7011,7.007381
1,463032145939281,-1.2089736,6.835098,7.0746794
4,463014966168656,-0.036879905,-0.050318543,0.009391776
1,463010671239593,-0.91226363,5.877371,8.015358
4,462993491470138,0.09216158,-0.0038941512,0.021532366
1,462989196581700,-0.70618176,5.959026,7.5942206
4,463019261610270,0.0071010995,-0.15416257,-0.032145835
1,463014966698656,-0.39032918,6.2581286,7.7617183
4,462997786900763,-0.10330954,0.16408885,0.041079476
1,462993492000138,-0.23928227,5.9901323,7.926823
4,463023557039802,-0.025273805,0.010155336,-0.019318044
4,462976312424304,-0.0092390645,-0.16699037,-0.051769305
1,463019262140270,-0.38554356,5.8247285,8.3219385
4,463002082331335,-0.07459972,-0.04421007,-0.006566608
1,462997787430763,-0.14596218,5.8944197,7.919645
4,462980607782794,-0.026953636,0.0071010995,-0.012064233
4,463027852474229,-0.03321482,0.15126105,0.065589726
1,463023557569802,-0.16749759,5.8343,8.063214
