type,time,one,two,three
4,430433552661655,-0.28831992,0.2765611,0.046042614
1,430429257875874,0.25124636,4.6707897,9.15494
4,430437847968165,-0.03115321,0.0053449133,-0.001603474
1,430433553191655,0.63200426,5.022834,7.8670025
1,430437848498165,0.20578274,5.3051867,8.494222
4,430429259865092,-0.15271181,0.08719844,0.022830416
4,430433555180874,-0.29015246,0.2753394,0.04909685
1,430429260395092,0.25603202,4.6731825,9.135797
4,430437850487436,-0.025044737,0.008399149,-0.0022143214
1,430433555710874,0.60807604,5.0132627,7.7976108
1,430437851017436,0.19860429,5.3051867,8.503793
4,430429262384363,-0.11972606,0.09208523,0.025884653
4,430433557700145,-0.28648737,0.29794076,0.05276193
1,430429262914363,0.27756742,4.685147,9.114262
4,430437853006655,-0.016492875,0.004123219,-0.001603474
1,430433558230145,0.5937191,5.0108695,7.7186475
1,430437853536655,0.18424734,5.302794,8.513364
4,430429264903582,-0.08735116,0.09025268,0.02893889
4,430433560219363,-0.27243787,0.32481802,0.057037864
1,430429265433582,0.2970091,4.6971107,9.075976
4,430437855525874,-0.01099525,0.009620844,-0.0022143214
1,430433560749363,0.56500524,4.9917274,7.6923265
1,430437856055874,0.18903299,5.3075795,8.506186
6,430429266221759,986.81445,0.0,0.0
4,430429267422853,-0.05986303,0.09147438,0.028328042
4,430433562738634,-0.2583884,0.3461977,0.06192464
1,430429267952853,0.28265217,4.7138605,9.037691
4,430437858045145,-0.005497625,0.0077883024,-3.8177954E-4
1,430433563268634,0.55304116,5.0108695,7.730612
1,430437858575145,0.1698904,5.3123655,8.487042
4,430429269942124,-0.037261683,0.09575031,0.029549737
4,430433565257853,-0.24372806,0.35719293,0.06864396
1,430429270472124,0.27996024,4.7138605,8.985049
4,430437860564363,0.0012216945,0.009620844,8.39915E-4
1,430433565787853,0.5458627,5.037191,7.8287177
1,430437861094363,0.1794617,5.3147583,8.477471
4,430429272461342,-0.014049487,0.09330692,0.028328042
4,430433567777124,-0.22662434,0.34925193,0.07353074
1,430429272991342,0.28265217,4.7282176,8.963513
4,430437863083582,0.008551862,0.0071774554,-3.8177954E-4
1,430433568307124,0.52193445,5.0563335,7.919645
1,430437863613582,0.19142582,5.319544,8.460722
4,430429274980613,0.004275931,0.09269607,0.027106347
4,430433570296342,-0.21074231,0.33520243,0.07658497
1,430429275510613,0.27996024,4.7688956,8.920443
4,430437865602853,0.011606098,0.005955761,8.39915E-4
1,430433570826342,0.4884349,5.0587263,8.027322
1,430437866132853,0.1794617,5.3219366,8.443972
6,430437866250301,986.8047,0.0,0.0
4,430429277499832,0.017714571,0.09575031,0.0264955
4,430433572815613,-0.19669282,0.31626618,0.080860905
1,430429278029832,0.27756742,4.805087,8.8701935
4,430437868122072,0.017103724,0.006566608,-9.926268E-4
1,430433573345613,0.43100718,5.0682974,8.140083
1,430437868652072,0.18903299,5.3219366,8.427222
4,430429280019103,0.028098974,0.09575031,0.024662958
4,430433575334832,-0.1795891,0.29794076,0.08269345
1,430429280549103,0.3065804,4.821837,8.827123
4,430437870641342,0.023212196,0.005955761,-0.0028251687
1,430433575864832,0.38793638,5.0659046,8.250154
1,430437871171342,0.18424734,5.331807,8.384151
4,430429282538322,0.039094225,0.09513946,0.023441264
4,430433577854103,-0.1643179,0.2777828,0.081471756
1,430429283068322,0.31375888,4.855336,8.7673025
4,430437873160561,0.026266431,0.005955761,-0.0028251687
1,430433578384103,0.3281158,5.0850472,8.319545
1,430437873690561,0.1794617,5.3219366,8.348259
4,430429285057592,0.046424393,0.09941539,0.022219568
4,430433580373322,-0.15332267,0.26556584,0.08269345
1,430429285587592,0.32093734,4.881657,8.729017
4,430437875679780,0.029931515,0.008399149,-0.004046863
1,430433580903322,0.31615168,5.0922256,8.376973
1,430437876209780,0.15553348,5.3123655,8.3219385
4,430429287576811,0.04703524,0.10185878,0.020997874
4,430433582892592,-0.14721419,0.25518143,0.07902836
1,430429288106811,0.32093734,4.9031925,8.690433
4,430437878199051,0.032374904,0.0077883024,-0.006490252
1,430433583422592,0.32333016,5.101797,8.388937
1,430437878729051,0.16031912,5.293223,8.300403
4,430429290096082,0.050089475,0.10246963,0.020997874
4,430433585411863,-0.13988402,0.2441862,0.07902836
1,430429290626082,0.33050862,4.9175496,8.661719
4,430437880718270,0.03298575,0.0053449133,-0.006490252
1,430433585941863,0.34486556,5.118547,8.4248295
6,430433586250301,986.7959,0.0,0.0
1,430437881248270,0.148355,5.3051867,8.278867
4,430429292615353,0.04886778,0.103691325,0.018554486
4,430433587931082,-0.13805148,0.23746687,0.07841752
1,430429293145353,0.34965122,4.9342995,8.635398
4,430437883237488,0.032374904,0.004123219,-0.009544488
1,430433588461082,0.3687938,5.154439,8.429615
1,430437883767488,0.13878371,5.309973,8.247761
4,430429295134572,0.0452027,0.096972,0.016721943
4,430433590450353,-0.1435491,0.22830416,0.07963921
1,430429295664572,0.35682967,4.9606204,8.599505
4,430437885756759,0.037261683,0.00167983,-0.008933641
1,430433590980353,0.38315073,5.171189,8.417651
1,430437886286759,0.12921242,5.29083,8.226225
4,430429297653842,0.03970507,0.09269607,0.014278554
4,430433592969572,-0.1447708,0.21914145,0.07963921
